A B date time
0.0 0.0 01012023 00:00:00
-2.0275363548598184 0.011984922825112581 01012023 01:00:00
-2.690616715983192 -0.29792822981957684 01012023 02:00:00
-1.9859899758267612 -0.30940867922490206 01012023 03:00:00
-2.290897621584889 -2.8666633353521624 01012023 04:00:00
-2.1221667553480135 -2.432729671041923 01012023 05:00:00
-1.8197844430300738 -2.166687731327931 01012023 06:00:00
-0.3766630113649798 -2.1598594518697927 01012023 07:00:00
0.13374183966029518 -2.458385644351286 01012023 08:00:00
0.0262867424934681 -3.3108816779467047 01012023 09:00:00
0.15197004507268935 -3.3839549244919875 01012023 10:00:00
0.690451646443415 -3.5458702284159513 01012023 11:00:00
0.06387167411677197 -3.4306090229239756 01012023 12:00:00
-1.5050041568771562 -3.8690001766609123 01012023 13:00:00
-1.1286970824213205 -6.219515102611001 01012023 14:00:00
-1.308322276471062 -5.385792758204272 01012023 15:00:00
-0.9700215628750473 -4.8688040939130435 01012023 16:00:00
-2.5253622958272945 -4.5651949192702075 01012023 17:00:00
-5.371802790623331 -4.145440485121126 01012023 18:00:00
-5.05643361851151 -4.802231763487262 01012023 19:00:00
-4.562467400412277 -4.761568427689833 01012023 20:00:00
-8.293043001269671 -3.4063022475108173 01012023 21:00:00
-9.490528494057322 -3.044336354887796 01012023 22:00:00
-9.519430336311672 -2.0331943998518156 01012023 23:00:00
-9.535563095763528 -2.8134179048432193 02012023 00:00:00
-8.70919970091134 -2.713164680610178 02012023 01:00:00
-8.918862674949223 -3.7211789537135678 02012023 02:00:00
-8.010087044211984 -3.855600144315231 02012023 03:00:00
-8.21584058946487 -3.8862780746886454 02012023 04:00:00
-8.594983319905827 -4.978860393643962 02012023 05:00:00
-10.688507876399306 -4.074155714361327 02012023 06:00:00
-11.108624723417954 -3.479995321230549 02012023 07:00:00
-11.965288608331043 -4.270950172753479 02012023 08:00:00
-12.297230306826533 -3.344873436207038 02012023 09:00:00
-12.952472066104741 -2.94466344737869 02012023 10:00:00
