A "unix time (s)"
0.0 1672531200.0
-0.03202661701444382 1672617600.0
-0.5863508675173621 1672704000.0
-1.5759721567247762 1672790400.0
-2.7267995149281266 1672876800.0
-2.9758383025698563 1672963200.0
-3.3689792834139336 1673049600.0
-1.6087310999294675 1673136000.0
-1.3033792368874648 1673222400.0
-2.0965638538483042 1673308800.0
-3.2833323704437865 1673395200.0
-3.4424023657631686 1673481600.0
-2.6210385241230307 1673568000.0
-3.264417826913012 1673654400.0
-4.365944042038705 1673740800.0
-3.8453180955238517 1673827200.0
-4.115497664050648 1673913600.0
-7.073972113469923 1674000000.0
-7.09158878914331 1674086400.0
-8.013360212848449 1674172800.0
-7.1572996784933425 1674259200.0
-6.45798821451571 1674345600.0
-7.056671417438188 1674432000.0
-7.444071239002169 1674518400.0
-9.024824141439428 1674604800.0
-10.603970335210764 1674691200.0
-9.525074522878931 1674777600.0
-9.799858964852366 1674864000.0
-10.235898327424406 1674950400.0
-10.373941129791515 1675036800.0
-9.077915209964253 1675123200.0
-10.410759594765864 1675209600.0
-9.945456971020288 1675296000.0
-10.881247762610958 1675382400.0
-11.232343900714246 1675468800.0
-10.885084696741767 1675555200.0
-12.144728036584644 1675641600.0
-11.039550543674506 1675728000.0
-12.479681746034675 1675814400.0
-14.654975685316487 1675900800.0
-14.223449708305427 1675987200.0
-13.970599379703117 1676073600.0
-13.198690577325172 1676160000.0
-12.78338400114269 1676246400.0
-13.27906141876712 1676332800.0
-12.825105983002036 1676419200.0
-13.59076033013804 1676505600.0
-13.56688187653161 1676592000.0
-12.184706883380558 1676678400.0
-11.272982045573844 1676764800.0
-11.455446681208137 1676851200.0
-11.431683028033879 1676937600.0
-10.7045356567574 1677024000.0
-11.044861922563028 1677110400.0
-12.892790359770203 1677196800.0
-13.456714583583706 1677283200.0
-13.410888325584619 1677369600.0
-13.850223425716186 1677456000.0
-14.209178261694356 1677542400.0
-14.08193972381447 1677628800.0
-13.208854776138804 1677715200.0
-15.24960896164181 1677801600.0
-15.21363342692494 1677888000.0
-14.877465376890175 1677974400.0
-14.090067400148863 1678060800.0
-13.211437134259747 1678147200.0
-12.779911157248687 1678233600.0
-13.089596429865361 1678320000.0
-11.367662871520944 1678406400.0
-10.383126182711962 1678492800.0
-10.194412767159548 1678579200.0
-9.03191692175335 1678665600.0
-9.102803362040321 1678752000.0
-8.975564824160434 1678838400.0
-8.795502603341475 1678924800.0
-8.051807766879516 1679011200.0
-7.742108647178309 1679097600.0
-8.022603921666104 1679184000.0
-4.8249268582242015 1679270400.0
-5.099711300197636 1679356800.0
-3.755866380227487 1679443200.0
-4.375290150683341 1679529600.0
-5.907019482394587 1679616000.0
-3.884685283620289 1679702400.0
-2.0128039611507926 1679788800.0
