datetime,A,B
2023-01-01 00:00:00,0.0,0.0
2023-01-01 01:00:00,-2.0275363548598184,0.0119849228251125
2023-01-01 02:00:00,-2.690616715983192,-0.2979282298195768
2023-01-01 03:00:00,-1.9859899758267607,-0.309408679224902
2023-01-01 04:00:00,-2.290897621584889,-2.8666633353521624
2023-01-01 05:00:00,-2.122166755348013,-2.432729671041923
2023-01-01 06:00:00,-1.8197844430300736,-2.166687731327931
2023-01-01 07:00:00,-0.3766630113649798,-2.1598594518697927
2023-01-01 08:00:00,0.1337418396602951,-2.458385644351286
2023-01-01 09:00:00,0.0262867424934681,-3.3108816779467047
2023-01-01 10:00:00,0.1519700450726893,-3.3839549244919875
2023-01-01 11:00:00,0.690451646443415,-3.545870228415952
2023-01-01 12:00:00,0.0638716741167719,-3.430609022923976
2023-01-01 13:00:00,-1.5050041568771562,-3.869000176660912
2023-01-01 14:00:00,-1.1286970824213205,-6.219515102611001
2023-01-01 15:00:00,-1.308322276471062,-5.385792758204272
2023-01-01 16:00:00,-0.9700215628750471,-4.868804093913044
2023-01-01 17:00:00,-2.5253622958272945,-4.565194919270208
2023-01-01 18:00:00,-5.371802790623331,-4.145440485121126
2023-01-01 19:00:00,-5.05643361851151,-4.802231763487262
2023-01-01 20:00:00,-4.562467400412277,-4.761568427689833
2023-01-01 21:00:00,-8.293043001269671,-3.4063022475108173
2023-01-01 22:00:00,-9.490528494057322,-3.044336354887796
2023-01-01 23:00:00,-9.519430336311672,-2.033194399851816
2023-01-02 00:00:00,-9.535563095763528,-2.8134179048432197
2023-01-02 01:00:00,-8.70919970091134,-2.713164680610178
2023-01-02 02:00:00,-8.918862674949223,-3.721178953713568
2023-01-02 03:00:00,-8.010087044211984,-3.855600144315231
2023-01-02 04:00:00,-8.21584058946487,-3.886278074688645
2023-01-02 05:00:00,-8.594983319905827,-4.978860393643962
2023-01-02 06:00:00,-10.688507876399306,-4.074155714361327
2023-01-02 07:00:00,-11.108624723417954,-3.479995321230549
2023-01-02 08:00:00,-11.965288608331043,-4.270950172753479
2023-01-02 09:00:00,-12.297230306826531,-3.344873436207038
2023-01-02 10:00:00,-12.95247206610474,-2.94466344737869
2023-01-02 11:00:00,-15.306685129276875,-3.601198009122777
2023-01-02 12:00:00,-14.665234962594608,-3.380189680587728
2023-01-02 13:00:00,-16.995826472779974,-4.068496519839369
2023-01-02 14:00:00,-16.401951072956173,-3.753450749310488
2023-01-02 15:00:00,-16.57077285152472,-2.5097324874459392
2023-01-02 16:00:00,-18.56904362635061,-2.212036775209804
2023-01-02 17:00:00,-18.524543070013102,-0.856770595030788
